species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
aaa,bly,1978.0,2373.0,954.0,1662.0,3700.5,,,,,
aaa,bma,2495.0,3600.0,1921.5,2059.5,4843.5,1518.0,,3082.5,,
aaa,bmab,2575.5,3600.0,1921.5,2059.5,4855.5,1012.5,,3084.0,,
aaa,bmyc,2055.5,1701.0,1015.5,1224.0,2661.0,651.0,,,,
aaa,bnc,1912.0,1672.5,1038.0,985.5,2554.5,603.0,,,,
aaa,boz,2545.5,3145.5,885.0,2067.0,4768.5,928.5,,,,
aaa,bpa,2552.5,3586.5,1882.5,,,,,,,
aaa,bpz,2578.5,3573.0,1924.5,2053.5,4864.5,1107.0,,3082.5,,
aaa,bql,2068.0,2025.0,1204.5,1353.0,3097.5,762.0,,,,
aaa,bqy,2061.0,2016.0,1221.0,1323.0,3123.0,750.0,,1263.0,,
aaa,bra,2100.0,2721.0,880.5,,,,,2512.5,,
aaa,bsau,1970.0,2242.5,931.5,1708.5,3849.0,1032.0,,,,
aaa,bsui,1984.0,2422.5,867.0,2002.5,4533.0,864.0,,,,
aaa,bth,1643.0,1732.5,1158.0,,,,,,,
aaa,btr,2100.5,1893.0,669.0,,,,,,,
aaa,bxe,2462.5,3459.0,1768.5,,,1039.5,,,,
aaa,cac,915.0,1519.5,,,,,,,,
aaa,cau,1922.0,2221.5,1108.5,,,,,,,
aaa,cgl,2025.5,2298.0,886.5,1543.5,3159.0,880.5,,,,
aaa,cko,294.0,2703.0,1483.5,1854.0,4233.0,834.0,,2166.0,,
aaa,ctu,2260.5,2749.5,1561.5,1903.5,4465.5,967.5,,2427.0,,
aaa,ddn,2113.0,2478.0,1185.0,,,,,,,
aaa,dha,,,703.5,,,,,,,
aaa,dse,,,876.0,,,,,,,
aaa,eco,2231.0,2619.0,1440.0,1762.5,4123.5,898.5,,,,
aaa,ent,2219.5,2595.0,1458.0,1840.5,4207.5,901.5,,2031.0,,
aaa,esa,297.0,2746.5,1522.5,1933.5,4465.5,975.0,,2359.5,,
aaa,fjo,1944.0,1620.0,682.5,,,693.0,,,,
aaa,gme,2173.0,2655.0,843.0,1467.0,3633.0,1353.0,,,,
aaa,hde,2179.5,2034.0,1173.0,,,,,,,
aaa,hpy,1958.5,1719.0,1197.0,,,,,,,
aaa,kpn,2189.5,2701.5,1540.5,1881.0,4384.5,769.5,,2317.5,,
aaa,lap,2109.5,2508.0,894.0,,,,,2305.5,,
aaa,lmo,2055.0,1776.0,1044.0,,,,,,,
aaa,mag,2166.0,2673.0,916.5,,,,,2452.5,,
aaa,mcp,1995.5,1126.5,,,,,,,,
aaa,mlo,2100.5,2497.5,882.0,,,,,2551.5,,
aaa,mmu,,,765.0,,,,,,,
aaa,mtu,2038.5,2346.0,942.0,1626.0,3499.5,1003.5,,,,
aaa,mxa,2127.0,2820.0,1497.0,,,,,,,
aaa,nfa,2027.0,2535.0,886.5,1680.0,3853.5,1059.0,,,,
aaa,nme,,2715.0,879.0,,,,,,,
aaa,nos,2015.0,1689.0,979.5,,,717.0,,,,
aaa,npc,2007.5,2259.0,937.5,,,1096.5,,1765.5,,
aaa,nwi,2098.0,2617.5,868.5,1513.5,3370.5,855.0,,,,
aaa,pae,2283.5,3003.0,1747.5,2160.0,5028.0,1050.0,,2943.0,,
aaa,pam,2224.5,2631.0,1423.5,,,,,2278.5,,
aaa,paq,2251.5,2646.0,1419.0,,,,,2284.5,,
aaa,par,2175.0,2124.0,784.5,1554.0,3543.0,826.5,,,,
aaa,pcr,2180.5,2104.5,1222.5,,,805.5,,1917.0,,
aaa,pdo,1939.0,2305.5,,,,,,,,
aaa,pfl,2270.0,2832.0,1584.0,,,,,,,
aaa,pmh,1980.0,1152.0,858.0,,,,,,,
aaa,pps,,,867.0,,,,,,,
aaa,ppu,2278.5,2899.5,1659.0,,,1044.0,,,,
aaa,psa,942.5,2848.5,1645.5,2098.5,4863.0,1045.5,,2956.5,,
aaa,rbd,2291.0,3049.5,961.5,,,,,,,
aaa,rfr,2808.0,3972.0,1653.0,2185.5,5332.5,1623.0,,3409.5,,
aaa,rhc,2064.0,2491.5,879.0,,,,,2455.5,,
aaa,rpa,2100.0,2649.0,885.0,,,,,,,
aaa,rso,2518.5,3645.0,2029.5,2149.5,4915.5,1525.5,,2691.0,,
aaa,sau,2028.0,1635.0,954.0,1114.5,2389.5,,,,,
aaa,sco,2011.5,2524.5,922.5,1741.5,3837.0,1033.5,,2109.0,,
aaa,sfr,2273.5,2137.5,756.0,,,772.5,,1698.0,,
aaa,sil,2030.0,2497.5,942.0,,,,,,,
aaa,slr,1911.0,2068.5,877.5,,,,,,,
aaa,son,2253.0,2404.5,816.0,,,,,,,
aaa,spe,2236.0,2751.0,1513.5,1918.5,4462.5,945.0,,2271.0,,
aaa,spy,1703.0,1651.5,,,,,,,,
aaa,srr,2231.0,2745.0,1539.0,1896.0,4545.0,943.5,,2335.5,,
aaa,syn,2016.0,1879.5,1119.0,,,,,,,
aaa,tpo,1871.5,1719.0,,,,,,,,
aaa,ttu,2180.0,2577.0,840.0,,,921.0,,2187.0,,
aaa,vch,2210.5,2496.0,828.0,,,,,,,
aaa,vpa,2068.5,2362.5,801.0,,,,,1687.5,,
aaa,wbr,2157.5,1384.5,,,,,,,,
aaa,xcc,2327.5,2866.5,937.5,,,1039.5,,2917.5,,
aaa,xoo,2324.5,2859.0,916.5,,,,,,,
aaci,aaa,1998.0,2485.5,910.5,1753.5,,918.0,,,,
aaci,aaci,3092.0,5364.0,4506.0,3072.0,,2430.0,,,,4740.0
aaci,aalg,1915.0,1659.0,1611.0,,,688.5,,,,661.5
aaci,aamb,1518.0,,477.0,978.0,,562.5,,,,
aaci,aaq,2541.0,2760.0,2308.5,1761.0,,849.0,,,,
aaci,aaqi,1922.5,1218.0,1350.0,,,,,,,
aaci,aaqu,1975.5,2275.5,790.5,,,,,,,1770.0
aaci,aasc,2039.0,2023.5,733.5,1282.5,,867.0,,,,
aaci,aba,2035.0,2310.0,1011.0,,,,,,,1830.0
aaci,abo,2081.5,2160.0,1837.5,1425.0,,715.5,,,,
aaci,ace,2474.5,2763.0,834.0,1620.0,,964.5,,,,
aaci,acet,2045.0,2020.5,718.5,,,759.0,,,,886.5
aaci,achr,1979.0,2452.5,912.0,1677.0,,936.0,,,,1965.0
aaci,acib,1874.5,1189.5,1341.0,,,,,,,
aaci,acid,2010.0,2370.0,2191.5,1675.5,,880.5,,,,1054.5
aaci,acii,2128.0,2317.5,886.5,762.0,,759.0,,,,1938.0
aaci,acin,2014.5,2368.5,2229.0,,,868.5,,,,
aaci,acio,2022.5,2338.5,876.0,1657.5,,844.5,,,,1054.5
aaci,acip,2010.0,2368.5,2239.5,1668.0,,874.5,,,,1057.5
aaci,acis,2010.0,2368.5,859.5,1668.0,,1020.0,,,,1057.5
aaci,ack,2029.5,2328.0,2203.5,1650.0,,904.5,,,,1909.5
aaci,acom,2092.5,2440.5,2247.0,,,,,,,1008.0
aaci,acr,2019.0,2442.0,891.0,1723.5,,985.5,,,,
aaci,acra,2006.0,2365.5,2221.5,1648.5,,910.5,,,,
aaci,acry,2541.0,3025.5,2358.0,,,990.0,,,,
aaci,acto,2424.5,2308.5,2428.5,2118.0,,1599.0,,,,
aaci,actt,2486.5,2775.0,835.5,1839.0,,1467.0,,,,
aaci,acu,1925.5,2278.5,954.0,1396.5,,874.5,,,,
aaci,ade,2104.0,2628.0,1014.0,1563.0,,1057.5,,,,2115.0
aaci,adi,2082.0,2328.0,859.5,1560.0,,885.0,,,,1888.5
aaci,adk,1986.0,2481.0,939.0,1750.5,,930.0,,,,1936.5
aaci,adn,1986.0,2482.5,933.0,1753.5,,925.5,,,,1936.5
aaci,adt,1982.5,2473.5,883.5,1690.5,,964.5,,,,
aaci,aeb,2582.5,2236.5,2413.5,1870.5,,882.0,,,,
aaci,aeh,2173.5,2484.0,1333.5,1669.5,,913.5,,,,987.0
aaci,aei,2017.0,1662.0,1569.0,1114.5,,676.5,,,,
aaci,aep,1891.0,2340.0,861.0,1629.0,,753.0,,,,
aaci,aev,1942.0,1633.5,1581.0,,,,,,,673.5
aaci,aez,2600.5,3285.0,2442.0,1822.5,,900.0,,,,
aaci,afa,1985.5,2268.0,789.0,,,,,,,1777.5
aaci,afc,1889.5,1197.0,1308.0,,,,,,,610.5
aaci,afi,2045.5,2140.5,900.0,1342.5,,778.5,,,,
aaci,afla,1890.0,1671.0,1647.0,,,678.0,,,,
aaci,afq,1981.5,2274.0,789.0,,,,,,,1767.0
aaci,agc,1988.5,2332.5,837.0,,,,,,,939.0
aaci,agt,2038.0,2302.5,823.5,,,,,,,942.0
aaci,agv,1926.0,2571.0,993.0,,,,,,,2005.5
aaci,aht,1902.5,2241.0,2095.5,,,,,,,919.5
aaci,ahu,2063.5,2517.0,862.5,,,,,,,1006.5
aaci,ahz,1866.5,1450.5,1323.0,,,537.0,,,,
aaci,ais,1975.0,2466.0,2349.0,1642.5,,951.0,,,,1915.5
aaci,aji,2965.0,4522.5,3156.0,,,,,,,
aaci,ajs,2015.0,2422.5,894.0,1734.0,,910.5,,,,1902.0
aaci,aka,1983.5,2172.0,166.5,1111.5,,789.0,,,,
aaci,alg,2001.5,1902.0,829.5,,,,,,,1297.5
aaci,ali,2042.0,2523.0,861.0,,,,,,,975.0
aaci,aln,2086.0,2175.0,1842.0,1425.0,,715.5,,,,
aaci,alp,1943.5,1272.0,1407.0,,,535.5,,,,648.0
aaci,als,1925.5,1564.5,1509.0,,,660.0,,,,
aaci,alti,1900.0,1801.5,1689.0,,,,,,,
aaci,alv,2057.0,2145.0,912.0,,,,,,,2034.0
aaci,amah,1933.5,2281.5,2128.5,1593.0,,865.5,,,,1033.5
aaci,amc,1956.5,,1743.0,,,793.5,,,,
aaci,ame,,,529.5,,,,,,,
aaci,amh,1963.0,1891.5,,1287.0,,772.5,,,,
aaci,ami,2568.0,3073.5,892.5,1767.0,,966.0,,,,
aaci,amih,2003.5,2388.0,876.0,,,960.0,,,,937.5
aaci,amol,1900.5,1212.0,1320.0,,,,,,,
aaci,amr,2027.0,1950.0,1708.5,,,444.0,,,,1681.5
aaci,ams,2565.5,2299.5,909.0,1786.5,,888.0,,,,
aaci,amv,2026.0,2455.5,894.0,1707.0,,985.5,,,,
aaci,amyb,2511.0,3007.5,898.5,1947.0,,1009.5,,,,
aaci,amyy,2480.0,3037.5,915.0,1813.5,,874.5,,,,
