SampleID	Sample_Plate	Sample_Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_label2	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Chloramphenicol	Cycloheximide	Time_point	Sample_label	Replicate	ReplicateID	Soil_and_pH	Time	Soil_pH	Reads_sample	Reads_ecoli	Reads_parabac	Reads_spikein	Reads_sample_only	pH	pH_micro_T0	pH_control_T9	Biomass_proxy
Soil11_SampleB46	SetB	D10	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-5	Slurry	HCl_NaOH	-5	-0.5	20	CHL	None	Soil11_T9	Soil11_D10_-5_CHL	2	Soil11_T9_Slurry_CHL_None_-5_R2	Soil11_pH6.19	T9	6.19	40116	2146	2454	4600	35516	5	4.316666667	4.426666667	7.720869565
Soil11_SampleB47	SetB	D11	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_3	Slurry	HCl_NaOH	3	0.3	20	CHL	None	Soil11_T9	Soil11_D11_3_CHL	2	Soil11_T9_Slurry_CHL_None_3_R2	Soil11_pH6.19	T9	6.19	48547	2718	2723	5441	43106	4.231231231	4.316666667	4.426666667	7.922440728
Soil11_SampleB48	SetB	D12	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_30	Slurry	HCl_NaOH	30	3	20	CHL	None	Soil11_T9	Soil11_D12_30_CHL	2	Soil11_T9_Slurry_CHL_None_30_R2	Soil11_pH6.19	T9	6.19	83116	16565	21229	37794	45322	3.306306306	4.316666667	4.426666667	1.199185056
Soil11_SampleB49	SetB	E01	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-100	Slurry	HCl_NaOH	-100	-10	20	None	None	Soil11_T9	Soil11_E01_-100_None	3	Soil11_T9_Slurry_None_None_-100_R3	Soil11_pH6.19	T9	6.19	58856	1380	1905	3285	55571	8.58	4.323333333	4.483333333	16.91659056
Soil11_SampleB5	SetB	A05	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-3	Slurry	HCl_NaOH	-3	-0.3	20	None	None	Soil11_T9	Soil11_A05_-3_None	1	Soil11_T9_Slurry_None_None_-3_R1	Soil11_pH6.19	T9	6.19	29093	946	1277	2223	26870	4.783783784	4.323333333	4.483333333	12.08726946
Soil11_SampleB50	SetB	E02	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-25	Slurry	HCl_NaOH	-25	-2.5	20	None	None	Soil11_T9	Soil11_E02_-25_None	3	Soil11_T9_Slurry_None_None_-25_R3	Soil11_pH6.19	T9	6.19	41229	849	996	1845	39384	7.498498498	4.323333333	4.483333333	21.34634146
Soil11_SampleB51	SetB	E03	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-14	Slurry	HCl_NaOH	-14	-1.4	20	None	None	Soil11_T9	Soil11_E03_-14_None	3	Soil11_T9_Slurry_None_None_-14_R3	Soil11_pH6.19	T9	6.19	74193	1731	1905	3636	70557	6.537537538	4.323333333	4.483333333	19.40511551
Soil11_SampleB52	SetB	E04	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-8	Slurry	HCl_NaOH	-8	-0.8	20	None	None	Soil11_T9	Soil11_E04_-8_None	3	Soil11_T9_Slurry_None_None_-8_R3	Soil11_pH6.19	T9	6.19	27272	761	869	1630	25642	5.21	4.323333333	4.483333333	15.73128834
Soil11_SampleB53	SetB	E05	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_-3	Slurry	HCl_NaOH	-3	-0.3	20	None	None	Soil11_T9	Soil11_E05_-3_None	3	Soil11_T9_Slurry_None_None_-3_R3	Soil11_pH6.19	T9	6.19	35178	951	1238	2189	32989	4.783783784	4.323333333	4.483333333	15.07035176
Soil11_SampleB54	SetB	E06	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_None_None_9	Slurry	HCl_NaOH	9	0.9	20	None	None	Soil11_T9	Soil11_E06_9_None	3	Soil11_T9_Slurry_None_None_9_R3	Soil11_pH6.19	T9	6.19	67779	4119	4653	8772	59007	3.882882883	4.323333333	4.483333333	6.726744186
Soil11_SampleB55	SetB	E07	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-100	Slurry	HCl_NaOH	-100	-10	20	CHL	None	Soil11_T9	Soil11_E07_-100_CHL	3	Soil11_T9_Slurry_CHL_None_-100_R3	Soil11_pH6.19	T9	6.19	54297	2414	2859	5273	49024	8.55	4.316666667	4.426666667	9.297174284
Soil11_SampleB56	SetB	E08	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-25	Slurry	HCl_NaOH	-25	-2.5	20	CHL	None	Soil11_T9	Soil11_E08_-25_CHL	3	Soil11_T9_Slurry_CHL_None_-25_R3	Soil11_pH6.19	T9	6.19	44840	1695	1974	3669	41171	7.294294294	4.316666667	4.426666667	11.22131371
Soil11_SampleB57	SetB	E09	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-14	Slurry	HCl_NaOH	-14	-1.4	20	CHL	None	Soil11_T9	Soil11_E09_-14_CHL	3	Soil11_T9_Slurry_CHL_None_-14_R3	Soil11_pH6.19	T9	6.19	39662	1718	2015	3733	35929	6.249249249	4.316666667	4.426666667	9.624698634
Soil11_SampleB58	SetB	E10	0	2	0	Soil11	Soil11_CE234	Soil11_T9_Slurry_CHL_None_-8	Slurry	HCl_NaOH	-8	-0.8	20	CHL	None	Soil11_T9	Soil11_E10_-8_CHL	3	Soil11_T9_Slurry_CHL_None_-8_R3	Soil11_pH6.19	T9	6.19	35545	1557	1795	3352	32193	5.348348348	4.316666667	4.426666667	9.604116945
